P01316903A1040|0 17|RNA polymerase II
P01464606A0344|30 34|beta
P01339373T0000|30 34|gene
P00589073A0000|30 34|ctin
P01281771T0000|30 34|gene
P00958550T0001|30 34|unit
P01333035T0000|30 33|ein
P00989973A0000|30 33|rin
P01398140A0488|30 33|ene
P00304310A0000|30 33|pha
P01281771T0000|30 33|gen
P00985279A0493|30 33|nce
P01339373T0000|30 33|gen
P01158512T0000|30 33|ase
P01418834A0987|30 33|ase
P01354506T0000|30 33|ase
P00034935A0545|30 33|ase
P00696858A0000|30 33|cin
P01281472T0000|30 33|nin
P01331292A1425|30 33|tan
P01333047A0404|31 41|wth factor
P00117748T0000|31 39|sistance
P01256410T0001|31 38|olecule
P00918556A0000|31 37|urface
P00232354A0286|31 37|nsulin
P00989973A0000|31 37|inogen
P01398106A0754|31 37|enzyme
P01358758A0000|31 37|nsulin
P00219565A0172|31 36|tigen
P00484177A0242|31 36|lamin
P00439618T0001|31 36|lamin
P01316461A1083|31 36|otein
P01093845A0208|31 36|Delta
P01380454A0451|31 36|otein
P00481612A1121|31 36|eptor
P00839378A0649|31 36|group
P00618078A0367|31 35|vity
P00066874T0000|31 35|lpha
P00506649T0000|31 35|tein
P01337142A2043|31 34|pha
P01324404A1208|31 34|nce
P01406630A0545|31 34|nce
P01081904A0198|31 34|ter
P01279352A1197|31 34|ter
P00839378A0649|31 34|gro
P00958550T0001|31 34|nit
P00931089T0001|31 34|tin
P00524451A0136|31 34|tor
P00172199A0270|31 34|ter
P00941050T0000|31 34|ide
P01339373T0000|31 34|ene
P01464606A0344|31 34|eta
P01281771T0000|31 34|ene
P01420363T0000|31 34|din
P01215067A0000|31 34|nce
P00589073A0000|31 34|tin
P01358190A0654|31 34|ain
P01318310A0000|31 34|lls
P01241588A1470|31 33|IA
P01377696A0000|32 46|e glycoprotein
P01328197A0985|32 42|MAP kinase
P01333047A0404|32 41|th factor
P00693987T0001|32 40|activity
P00117748T0000|32 39|istance
P00224013A0661|32 37|group
P00219565A0172|32 36|igen
P01329039A0951|32 36|vity
P01330077A0000|32 36|gene
P01332964A0247|32 36|beta
P01380454A0451|32 36|tein
P00481612A1121|32 36|ptor
P01316461A1083|32 36|tein
P00088391A0181|32 36|vity
P00863773T0000|32 35|cin
P00224013A0661|32 35|gro
P00219674A0000|32 35|pha
P00506649T0000|32 35|ein
P01331292A1425|32 35|nce
P01330077A0000|32 35|gen
P00890028A0507|32 35|nce
P00606849T0000|32 35|ase
P00336354A0543|32 35|nin
P00063680T0000|32 35|mia
P00066874T0000|32 35|pha
P00304310A0000|32 35|ase
P00866577A0579|32 35|gen
P01448917A0775|32 35|min
P01418272A1072|33 44|sensitivity
P01316903A0296|33 43|polymerase
P00073344A0367|33 41|activity
P00807356T0001|33 41|activity
P01326557T0000|33 41|neurocan
P01346262A0377|33 40|protein
P01279197T0000|33 40|homolog
P01324172A0880|33 40|protein
P01432453T0000|33 39|system
P00038408T0000|33 38|alpha
P01241437A0152|33 38|group
P00918556A0000|33 37|face
P00627202T0000|33 37|olog
P01398106A0754|33 37|zyme
P00602622A0362|33 37|opin
P01275541A0405|33 37|vity
P00725336T0000|33 36|nce
P00481612A1121|33 36|tor
P01396572A0320|33 36|C19
P01425653T0000|33 36|ein
P00903772A0359|33 36|nin
P01380454A0451|33 36|ein
P00219565A0172|33 36|gen
P00001606T0076|33 36|ase
P00484177A0242|33 36|min
P00450367T0000|33 36|ter
P01395755A1023|33 36|nce
P01241437A0152|33 36|gro
P01330077A0000|33 36|ene
P01316461A1083|33 36|ein
P00681571T0028|33 36|mis
P01410071T0000|33 36|nin
P01298398A0461|33 36|ter
P00926272A0000|33 36|ter
P01206772T0000|33 36|yte
P01093845A0208|33 36|lta
P00030937A0119|33 36|ase
P01332964A0247|33 36|eta
P00439618T0001|33 36|min
P00072928T0000|34 47|mochromatosis
P01377696A0000|34 46|glycoprotein
P00918556A0000|34 45|ace antigen
P01333053A0110|34 45|hydroxylase
P01418272A1072|34 44|ensitivity
P01284828T0001|34 43|inhibitor
P01124944A0830|34 41|protein
P01331501A0397|34 41|peptide
P00377466A0188|34 41|hormone
P00513284A0000|34 40|cyclin
P01346262A0377|34 40|rotein
P01285554T0000|34 40|system
P01324172A0880|34 40|rotein
P01279197T0000|34 40|omolog
P00117748T0000|34 39|tance
P01377818A0468|34 39|gamma
P00234264A0164|34 38|vity
P00038408T0000|34 38|lpha
P00117748T0000|34 37|tan
P00321261A0104|34 37|din
P00748978T0000|34 37|din
P00913623A0242|34 37|ule
P00593119T0001|34 37|ter
P00989973A0000|34 37|gen
P01297332T0000|34 37|nce
P00261981A0434|34 37|din
P01378506A0884|34 37|tan
P00627202T0000|34 37|log
P00101300A0257|34 37|can
P01300914A1066|34 37|ter
P01312005A0600|34 37|gen
P01333125A0000|34 37|nce
P00597715A0256|34 37|mia
P01436261A0145|35 47|somatostatin
P01377696A0000|35 46|lycoprotein
P01449183A0795|35 46|transferrin
P00716366T0001|35 46|phosphatase
P00524451A0136|35 43|activity
P00696858A0000|35 43|secretin
P01284828T0001|35 43|nhibitor
P01337142A2043|35 42|subunit
P01437562A0462|35 42|protein
P01371275T0000|35 42|subunit
P00089778A0000|35 42|lobulin
P01333047A0404|35 41|factor
P01331501A0397|35 41|eptide
P01124944A0830|35 41|rotein
P01346262A0377|35 40|otein
P01279197T0000|35 40|molog
P01324172A0880|35 40|otein
P01331060A0768|35 39|gene
P00429893A0000|35 39|ound
P00929418T0001|35 38|ial
P00377466A0188|35 38|orm
P01370446A0818|35 38|tan
P00038408T0000|35 38|pha
P01256410T0001|35 38|ule
P01318739A0410|35 38|tin
P00168176A0000|35 38|ter
P01324406A1250|35 38|ase
P01297332A0983|35 38|ide
P01176905A0094|35 38|nin
P01331060A0768|35 38|gen
P01447189T0000|36 51|serine protease
P01285009A0000|36 50|growth hormone
P01377696A0000|36 46|ycoprotein
P00866577A0579|36 45|activator
P01284828T0001|36 43|hibitor
P01406630A0965|36 43|kappa B
P01337142A2043|36 42|ubunit
P01437562A0462|36 42|rotein
P01371275T0000|36 42|ubunit
P01396601A0986|36 42|Sec12p
P01328197A0985|36 42|kinase
P01333047A0404|36 41|actor
P01331501A0397|36 41|ptide
P01124944A0830|36 41|otein
P00693987T0001|36 40|vity
P01346262A0377|36 40|tein
P01324172A0880|36 40|tein
P01279197T0000|36 40|olog
P00117748T0000|36 39|nce
P01377818A0468|36 39|mma
P01298398A0461|36 39|min
P01331060A0768|36 39|ene
P00519173A0126|36 39|ide
P00792847A0000|36 39|yte
P01285009A0000|36 39|gro
P00741476A0000|36 39|min
P00101300A0257|36 39|nce
P01349837T0000|36 39|lia
P01113908A0475|37 48|transferrin
P01448932T0000|37 47|transcript
P00066874T0000|37 47|etoprotein
P01377696A0000|37 46|coprotein
P01392012A0228|37 45|oxytocin
P00033873T0001|37 45|activity
P01464606A0344|37 45|integrin
P01418272A1072|37 44|itivity
P00354315T0000|37 43|ataxia
P01337142A2043|37 42|bunit
P01371275T0000|37 42|bunit
P01328197A0985|37 42|inase
P01437562A0462|37 42|otein
P00073344A0367|37 41|vity
P01396592A1113|37 41|gene
P01331501A0397|37 41|tide
P01333047A0404|37 41|ctor
P01124944A0830|37 41|tein
P00417301T0001|37 41|cell
P00807356T0001|37 41|vity
P01332964A0247|37 41|gene
P00589073A0000|37 40|nce
P01431380A0244|37 40|tic
P01324404A0813|37 40|ain
P00593119T0001|37 40|min
P01360180A1568|37 40|min
P01279197T0000|37 40|log
P01324172A0880|37 40|ein
P01346262A0377|37 40|ein
P01332964A0247|37 40|gen
P01396592A1113|37 40|gen
P01186344A0303|37 40|ter
P00621626T0000|37 40|nce
P01331086T0000|38 50|cytochrome c
P00227393T0000|38 49|hydroxylase
P01377696A0000|38 46|oprotein
P00918556A0000|38 45|antigen
P01333053A0110|38 45|oxylase
P01316903A0296|38 43|erase
P01400217T0000|38 43|alpha
P00637637T0000|38 43|renin
P01337142A2043|38 42|unit
P01279374A0396|38 42|gene
P00628990A0000|38 42|unit
P01437562A0462|38 42|tein
P01386897A0000|38 42|cell
P01328197A0985|38 42|nase
P01082833A0000|38 42|agen
P01371275T0000|38 42|unit
P01313909A0526|38 41|tan
P01370281A0461|38 41|din
P01333047A0404|38 41|tor
P01332964A0247|38 41|ene
P00917721A0484|38 41|ide
P01148868A0284|38 41|ter
P00339289T0049|38 41|mis
P00342623A0228|38 41|cin
P01174873T0000|38 41|tor
P01454518A0336|38 41|ain
P01331501A0397|38 41|ide
P00935526A0000|38 41|din
P00512215A0000|38 41|nce
P01235347T0001|38 41|cin
P01396592A1113|38 41|ene
P01287197A0761|38 41|ase
P01326557T0000|38 41|can
P01141114A0188|38 41|ase
P01124944A0830|38 41|ein
P01279374A0396|38 41|gen
P01280807A0575|38 41|tor
P01447189T0000|38 41|rin
P01447189T0000|39 51|ine protease
P00066874T0000|39 47|oprotein
P00639410T0000|39 47|response
P01082726A0248|39 47|response
P01377696A0000|39 46|protein
P00918556A0000|39 45|ntigen
P01333053A0110|39 45|xylase
P00524451A0136|39 43|vity
P01400217T0000|39 43|lpha
P01316903A0296|39 43|rase
P00030937A0119|39 42|nce
P01328197A0985|39 42|ase
P01321336A0000|39 42|mia
P01404401A0740|39 42|din
P00975540T0000|39 42|mis
P01437562A0462|39 42|ein
P01371275T0000|39 42|nit
P00519173A0126|39 42|nce
P01337142A2043|39 42|nit
P00851286A0375|39 42|nce
P01279374A0396|39 42|ene
P00716366T0001|39 42|pha
P01082833A0000|39 42|gen
P00628990A0000|39 42|nit
P01447189A1546|40 55|serine protease
P00066874T0000|40 47|protein
P01000378T0000|40 47|insulin
P01377696A0000|40 46|rotein
P00918556A0000|40 45|tigen
P01358758A0000|40 44|gene
P00968181A0264|40 44|unit
P00232456T0000|40 44|MC29
P01418272A1072|40 44|vity
P01358758A0000|40 43|gen
P01284828T0001|40 43|tor
P00637637T0000|40 43|nin
P01427457A0000|40 43|ial
P01400217T0000|40 43|pha
P00696858A0000|40 43|tin
P01469047A1606|40 43|ain
P01116466A0185|40 43|tin
P01316903A0296|40 43|ase
P00578648T0048|40 43|min
P01457695T0000a|40 43|ial
P01457695T0000b|40 43|ial
P00369683T0000|40 43|ule
P01399206A0375|41 62|collagenase inhibitor
P01399206A0375|41 52|collagenase
P00993176A0066|41 51|hemoglobin
P00792847A0000|41 48|lobulin
P01377962A1012|41 48|subunit
P00066874T0000|41 47|rotein
P01000378T0000|41 47|nsulin
P01377696A0000|41 46|otein
P00918556A0000|41 45|igen
P00033873T0001|41 45|vity
P00506559A0000|41 45|ural
P00851041A0000|41 45|tein
P00875778T0000|41 45|rter
P00488534A0308|41 44|ain
P00038408T0000|41 44|tor
P00767161A0837|41 44|nce
P01398071A0526|41 44|ain
P00086313A0000|41 44|ase
P01422265A0263|41 44|lia
P00968181A0264|41 44|nit
P00909114A0000|41 44|nit
P00240518A0000|41 44|ter
P00729003A1182|41 44|cin
P00139827A0000|41 44|ter
P01358758A0000|41 44|ene
P00917721A0484|41 44|nce
P01021091T0000|42 50|response
P00227393T0000|42 49|oxylase
P00221725A0523|42 49|oxidase
P01147502T0000|42 48|system
P01286732A0572|42 48|enzyme
P01377962A1012|42 48|ubunit
P00066874T0000|42 47|otein
P01339773A0000|42 47|group
P01377696A0000|42 46|tein
P01394200A0592|42 46|cell
P01172917T0000|42 46|ctor
P00918556A0000|42 45|gen
P00875778T0000|42 45|ter
P01464606A0344|42 45|rin
P01392012A0228|42 45|cin
P00516545T0001|42 45|yte
P01399206A0375|42 45|oll
P01454819A0000|42 45|fic
P01333053A0110|42 45|ase
P00427715A0000|42 45|ase
P01339773A0000|42 45|gro
P00808266T0000|42 45|can
P00851041A0000|42 45|ein
P00168431T0000|42 45|ter
P01360180A1568|42 45|ter
P00635143T0001|42 45|rin
P01447189A1546|42 45|rin
P00866577A0579|42 45|tor
P00225352T0000|42 45|eta
P00294502T0001|42 44|II
P01447189A1546|43 55|ine protease
P01328197A0985|43 52|activator
P01324406A1250|43 51|helicase
P00038408T0000|43 51|receptor
P01285009A0000|43 50|hormone
P00227393T0000|43 49|xylase
P01377962A1012|43 48|bunit
P00066874T0000|43 47|tein
P01377696A0000|43 46|ein
P00008997A0472|43 46|CSF
P01458170A0155|43 46|ase
P00811852T0001|43 46|ter
P01172917T0000|43 46|tor
P00587791T0054|43 46|ase
P01449183A0795|43 46|rin
P00264240A1843|43 46|yte
P00633909A0000|43 46|ter
P00616575A0000|43 46|ain
P00239169T0000|43 46|tic
P00716366T0001|43 46|ase
P01431602A0229|44 55|sensitivity
P00637637T0000|44 52|activity
P01399206A0375|44 52|lagenase
P00038408T0000|44 51|eceptor
P01334428A1102|44 51|peptide
P00089778A0000|44 49|alpha
P01396601A0986|44 49|Stl1p
P01377962A1012|44 48|unit
P01286732A0572|44 48|zyme
P00066874T0000|44 47|ein
P00833472A0907|44 47|lls
P01279352A0297|44 47|nce
P00808266T0000|44 47|nce
P00696680A0000|44 47|din
P01446828A1088|44 47|din
P01425921A1286|44 47|min
P00240518A0000|44 47|min
P00265964A0562|44 47|ain
P01389573A1071|44 47|nce
P01432453T0000|44 47|nit
P01389362T0000|44 47|tin
P01285009A0000|44 47|orm
P01352113A0002|44 47|nit
P01284595A0102|44 47|ide
P01436261A0145|44 47|tin
P00473249T0000|45 59|streptolysin O
P01431602A0229|45 55|ensitivity
P00985276A0000|45 53|response
P00038408T0000|45 51|ceptor
P01334428A1102|45 51|eptide
P00759400T0000|45 51|factor
P00993176A0066|45 51|globin
P01447189T0000|45 51|otease
P00803867A0315|45 50|group
P00521732T0000|45 49|beta
P01358190A0654|45 49|beta
P00089778A0000|45 49|lpha
P01399206A0375|45 49|agen
P01113908A0475|45 48|rin
P01158512T0000|45 48|fic
P00803867A0315|45 48|gro
P01377962A1012|45 48|nit
P00555495T0000|45 48|ter
P00401521A0138|45 48|tic
P01348590A0000|45 48|ase
P00646193T0000|46 55|halothane
P01330309A1134|46 54|myogenin
P01399206A0375|46 52|genase
P00038408T0000|46 51|eptor
P01447189T0000|46 51|tease
P00096241A0087|46 51|group
P00993176A0066|46 51|lobin
P00984209A0614|46 51|group
P00759400T0000|46 51|actor
P01334428A1102|46 51|ptide
P00089778A0000|46 51|pha 1
P01333053A0110|46 50|gene
P01092248T0000|46 50|gene
P00227393T0000|46 49|ase
P00521732T0000|46 49|eta
P01309587A0715|46 49|ter
P00819176T0001|46 49|min
P00239014A0000|46 49|ter
P01358190A0654|46 49|eta
P00089778A0000|46 49|pha
P00139624A0318|46 49|cin
P01358880A0251|46 49|ide
P01092248T0000|46 49|gen
P00911590T0000|46 49|rin
P01399206A0375|46 49|gen
P00984209A0614|46 49|gro
P00096241A0087|46 49|gro
P01168607A0672|46 49|min
P00892353A0686|46 49|mia
P00221725A0523|46 49|ase
P01333053A0110|46 49|gen
P00771729X0000|47 55|response
P00495097A0663|47 55|activity
P00234206T0000|47 52|group
P01399206A0375|47 52|enase
P00038408T0000|47 51|ptor
P00759400T0000|47 51|ctor
P01334428A1102|47 51|tide
P01093847A0000|47 50|ide
P00451192A0248|47 50|ter
P01372802A1481|47 50|min
P01333053A0110|47 50|ene
P00352569A0000|47 50|ter
P01092248T0000|47 50|ene
P01421145A1190|47 50|rin
P00199012T0000|47 50|cin
P00234206T0000|47 50|gro
P01354506T0000|47 50|nce
P01309894A0807|47 50|nce
P00488534A0308|47 50|ter
P00450367T0000|47 50|ter
P01429836A0457|47 50|ide
P01399206A0375|48 62|nase inhibitor
P00477794T0000|48 56|response
P01431602A0229|48 55|itivity
P00339289T0049|48 55|protein
P01304515A0178|48 53|group
P00637637T0000|48 52|vity
P01331057A0000|48 52|gene
P01399206A0375|48 52|nase
P01328219A1397|48 52|cell
P01337142A2043|48 51|ter
P00086313A0000|48 51|ter
P00909114A0000|48 51|min
P01304515A0178|48 51|gro
P00105401A0635|48 51|ter
P01429724A0664|48 51|ain
P01446132A0328|48 51|ter
P00759400T0000|48 51|tor
P01093055T0000|48 51|mia
P01433524A0788|48 51|min
P01452584T0000|48 51|eta
P01331057A0000|48 51|gen
P00517890A0468|48 51|mis
P01447189T0000|48 51|ase
P00555495T0000|48 51|min
P01157191A0536|48 51|rin
P01334428A1102|48 51|ide
P01372365A1202|48 51|nce
P00656008T0000|49 69|superoxide dismutase
P01327967A0668|49 60|sensitivity
P01427034A0440|49 56|protein
P01447189A1546|49 55|otease
P00339289T0049|49 55|rotein
P00265964A0562|49 53|ound
P01379150A0996|49 53|agen
P01402647A0114|49 53|cell
P01321280A0494|49 53|gene
P01328197A0985|49 52|tor
P01050144A0297|49 52|ain
P01331057A0000|49 52|ene
P01168908A0000|49 52|ein
P00712117A0521|49 52|ase
P01083784T0000|49 52|sin
P00239014A0000|49 52|min
P00713525A0268|49 52|ter
P01383690A1023|49 52|nit
P00958550T0001|49 52|ain
P01448806A0135|49 52|gro
P01399206A0375|49 52|ase
P01379032A0495|49 52|ter
P00377466A0188|49 52|oll
P01193458T0001|49 52|oll
P01352113A0002|49 52|gen
P01321280A0494|49 52|gen
P01433502A1163|49 52|nce
P00008171T0000|49 52|mia
P01330309A1134|49 52|gen
P01327967A0668|50 60|ensitivity
P00716366T0001|50 56|enzyme
P01462786T0000|50 56|system
P00022143T0000|50 56|rabbit
P01427034A0440|50 56|rotein
P00001606T0076|50 56|tidase
P01447189A1546|50 55|tease
P00339289T0049|50 55|otein
P00431832T0001|50 54|beta
P01422265A0263|50 53|ase
P00513284A1255|50 53|tor
P01299489A0788|50 53|ide
P01379150A0996|50 53|gen
P00219674A0000|50 53|cin
P01000378T0000|50 53|nce
P01284595A0102|50 53|fic
P01321280A0494|50 53|ene
P00519173A0126|50 53|pha
P00602702A0309|50 53|nce
P01333053A0110|51 61|transcript
P00819176T0001|51 59|activity
P01331086T0000|51 58|oxidase
P01316461A1083|51 58|peptide
P01427034A0440|51 56|otein
P01193458T0001|51 55|loid
P00429151T0000|51 55|unit
P00495097A0663|51 55|vity
P00339289T0049|51 55|tein
P01431602A0229|51 55|vity
P01452037A0000|51 54|pha
P01400396A1265|51 54|ter
P00476020T0000|51 54|gro
P00641395A0441|51 54|mia
P00633909A0000|51 54|ter
P01202616A0466|51 54|nin
P00445259T0000|51 54|tor
P00846559A0000|51 54|ide
P00431832T0001|51 54|eta
P01330309A1134|51 54|nin
P01436261A0145|51 54|log
P00857024A0888|51 54|ase
P01410071T0000|52 61|prolactin
P01324406A1250|52 60|activity
P01350780A0184|52 59|homolog
P01316461A1083|52 58|eptide
P01406656A1075|52 57|alpha
P00716366T0001|52 56|zyme
P00927633T0001|52 56|form
P01375913A0484|52 56|tide
P01331516A0103|52 56|cell
P01427034A0440|52 56|tein
P00827364A0000|52 55|rin
P00117748T0000|52 55|ter
P01281771T0000|52 55|tin
P00339289T0049|52 55|ein
P01347944A0964|52 55|ain
P00962277T0000|52 55|tin
P00696858A0000|52 55|rin
P01447189A1546|52 55|ase
P00512215A0000|52 55|nce
P01265443A0159|52 55|ide
P00429151T0000|52 55|nit
P01318310A0000|52 55|nit
P01399206A0375|53 62|inhibitor
P01447189T0000|53 62|RNK-Met-1
P01400401A0854|53 61|activity
P01327967A0668|53 60|itivity
P01350780A0184|53 59|omolog
P01316461A1083|53 58|ptide
P01157614T0000|53 57|form
P01406656A1075|53 57|lpha
P01375913A0484|53 56|ide
P01298173A0153|53 56|fic
P01326329A0703|53 56|CAP
P00703350A0418|53 56|ide
P01299489A0788|53 56|nce
P01460054A0478|53 56|min
P01316680A0643|53 56|nce
P01294345A0591|53 56|min
P01427034A0440|53 56|ein
P01191955A0077|53 56|nce
P00927633T0001|53 56|orm
P01429740A1065|53 56|nce
P01424674A0000|53 56|ase
P00001606T0076|53 56|ase
P00947327A0000|54 63|esistance
P01399206A0375|54 62|nhibitor
P01433502A1163|54 62|activity
P00221725A0523|54 61|oxidase
P01454819A0000|54 61|protein
P01130186A0568|54 61|insulin
P00843232A0100|54 60|factor
P01350780A0184|54 59|molog
P01333035T0000|54 59|alpha
P01316461A1083|54 58|tide
P00745775A0170|54 58|rter
P00627039T0000|54 57|rin
P01331516A0103|54 57|lls
P01396583A0204|54 57|ter
P01378052A0594|54 57|nce
P00839378A0649|54 57|ase
P01241866A0682|54 57|min
P00602622A0362|54 57|ter
P01406656A1075|54 57|pha
P01157614T0000|54 57|orm
P00227393T0000|54 57|min
P00473249T0000|54 57|sin
P00755671A0485|54 57|fic
P01241437A0152|54 56|II
P01330309A1134|55 69|fusion protein
P00431832T0001|55 63|receptor
P00947327A0000|55 63|sistance
P01399206A0375|55 62|hibitor
P01224116A0576|55 62|lobulin
P01309910A0428|55 62|protein
P01130186A0568|55 61|nsulin
P01454819A0000|55 61|rotein
P01131946T0001|55 61|period
P00843232A0100|55 60|actor
P01429724A0664|55 60|Nmt1p
P00819176T0001|55 59|vity
P01407286A0427|55 59|cell
P00015731A0090|55 59|rase
P00951909X0001|55 59|opin
P01333035T0000|55 59|lpha
P01350780A0184|55 59|olog
P01377696A0000|55 58|cin
P01080374A0709|55 58|tin
P01316461A1083|55 58|ide
P01321337A1161|55 58|tan
P00644314T0000|55 58|tic
P00745775A0170|55 58|ter
P01116254A0000|55 58|nce
P01261005A0711|55 58|nce
P01350932A1123|55 58|ter
P00105401A0635|55 58|nce
P00956364A0138|55 58|gro
P01206896T0001|55 58|gen
P01339373T0000|55 58|lia
P01301171A0979|55 58|rin
P01331086T0000|55 58|ase
P00837262A0000|55 58|oll
P01431809T0000|56 66|polyhedrin
P00054900A0226|56 64|esterase
P00431832T0001|56 63|eceptor
P00499588T0000|56 63|insulin
P00947327A0000|56 63|istance
P01309910A0428|56 62|rotein
P00988572A0000|56 62|rabbit
P01469042A0355|56 62|CENP-B
P01459451A0478|56 62|factor
P01419945A1386|56 61|lator
P01454819A0000|56 61|otein
P01324406A1250|56 60|vity
P01409643A0618|56 60|tide
P01327967A0668|56 60|vity
P01316476A1428|56 60|gene
P00843232A0100|56 60|ctor
P01456888A0074|56 60|tive
P01459447A0484|56 60|gene
P00493818A0422|56 59|nce
P00513284A0000|56 59|cin
P00755245A0000|56 59|tor
P01449301A0710|56 59|min
P01333035T0000|56 59|pha
P00656008T0000|56 59|ide
P00073344A0367|56 59|yte
P00432615A0541|56 59|ter
P01459447A0484|56 59|gen
P01376319T0000|56 59|e 6
P01316476A1428|56 59|gen
P01228882A0437|56 59|nce
P00764737X0000|56 59|fic
P01350780A0184|56 59|log
P00015731A0090|56 59|ase
P00450559A0269|56 59|nit
P00304240A0369|56 59|nce
P00564943A0444|56 59|ter
P01452037A0000|57 70|dehydrogenase
P01318310A0000|57 65|receptor
P01331057A0000|57 64|subunit
P00431832T0001|57 63|ceptor
P00499588T0000|57 63|nsulin
P01296815A0059|57 62|gamma
P01309910A0428|57 62|otein
P01459451A0478|57 62|actor
P00474064A0205|57 62|tance
P01400401A0854|57 61|vity
P01427034A0440|57 61|gene
P01410071T0000|57 61|ctin
P00665336A0908|57 61|form
P01285009A0000|57 61|gene
P01454819A0000|57 61|tein
P01080374A0709|57 60|nit
P01407286A0427|57 60|lls
P01429836A1205|57 60|ain
P00843232A0100|57 60|tor
P00736376A0371|57 60|mia
P01409643A0618|57 60|ide
P01427034A0440|57 60|gen
P01459447A0484|57 60|ene
P01316476A1428|57 60|ene
P00701462A0722|57 60|ase
P01414219A0319|57 60|nce
P01352113A0002|57 60|ide
P00420460A0291|57 60|log
P01265443A0159|57 60|ain
P01285009A0000|57 60|gen
P01190120A0832|57 60|tin
P00456424A0000|57 60|din
P01191964A0000|57 60|ide
P01371272A1167|57 60|ide
P00474064A0205|57 60|tan
P00383169A0000|58 72|amine receptor
P00216939T0001|58 71|dehydrogenase
P01318310A0000|58 65|eceptor
P01331057A0000|58 64|ubunit
P00431832T0001|58 63|eptor
P00947327A0000|58 63|tance
P00490336A0181|58 63|group
P01433502A1163|58 62|vity
P01309910A0428|58 62|tein
P01459451A0478|58 62|ctor
P01380454A0451|58 62|gene
P01279352A0473|58 62|cell
P01297332T0000|58 62|gene
P01157614T0000|58 61|nce
P01297332T0000|58 61|gen
P00221725A0523|58 61|ase
P01427034A0440|58 61|ene
P01309815A0972|58 61|nit
P01284032A0213|58 61|nce
P01419945A1386|58 61|tor
P01350932A1123|58 61|min
P00465681A0000|58 61|ase
P00330364A0132|58 61|ain
P01380454A0451|58 61|gen
P00490336A0181|58 61|gro
P01410071T0000|58 61|tin
P00054900A0226|58 61|ter
P00088391A0181|58 61|rin
P01454819A0000|58 61|ein
P01285009A0000|58 61|ene
P01347476T0000|58 61|nce
P00665336A0908|58 61|orm
P00947327A0000|58 61|tan
P01330309A1134|59 69|on protein
P01328884T0000|59 67|molecule
P01331086T0000|59 66|subunit
P00331936T0000|59 66|oxidase
P01318310A0000|59 65|ceptor
P00176742T0000|59 65|enzyme
P00054900A0226|59 64|erase
P01331057A0000|59 64|bunit
P00089778A0000|59 63|psin
P00665214A0374|59 63|olog
P00431832T0001|59 63|ptor
P01339391A0000|59 63|ound
P01399206A0375|59 62|tor
P01168956A0552|59 62|ain
P01297332T0000|59 62|ene
P01357528A0084|59 62|min
P01347944A0964|59 62|din
P00383169A0000|59 62|min
P00868301A0043|59 62|ide
P01296815A0059|59 62|mma
P01459451A0478|59 62|tor
P01309910A0428|59 62|ein
P00474064A0205|59 62|nce
P01380454A0451|59 62|ene
P00696680A0000|59 62|ase
P00574956A0304|59 62|ase
P00932738A0116|59 62|ene
P01325386A0766|60 78|heat shock protein
P01330309A1134|60 69|n protein
P00656008T0000|60 69|dismutase
P00015731A0090|60 69|inhibitor
P01333035T0000|60 67|subunit
P01328884T0000|60 67|olecule
P00771729X0000|60 67|hormone
P01320640A0336|60 67|enolase
P01331086T0000|60 66|ubunit
P01318310A0000|60 65|eptor
P01374392A0341|60 65|NHE-1
P01035457A0623|60 65|tance
P00054900A0226|60 64|rase
P01331057A0000|60 64|unit
P01071715A0903|60 63|din
P01284828T0001|60 63|ter
P00665214A0374|60 63|log
P01448917A0775|60 63|nce
P00089778A0000|60 63|sin
P00956554A0414|60 63|pha
P00807356T0001|60 63|tic
P00431832T0001|60 63|tor
P00601401A0181|60 63|nit
P01334493A0289|60 63|nit
P01035457A0623|60 63|tan
P01380062A0097|60 63|yte
P00722652A0118|60 63|ter
P00594617A0192|60 63|nce
P00477794T0000|60 63|ter
P00168176A0000|60 63|eta
P00947327A0000|60 63|nce
P00383169A0000|61 72|ne receptor
P00015731A0090|61 69|nhibitor
P01333035T0000|61 67|ubunit
P01309593A0095|61 67|factor
P01331086T0000|61 66|bunit
P00550399A0615|61 66|group
P01400217T0000|61 65|gene
P00528144T0000|61 65|cell
P00176742T0000|61 65|zyme
P01318310A0000|61 65|ptor
P01400217T0000|61 64|gen
P00872922A0204|61 64|ter
P00550399A0615|61 64|gro
P00137671A0896|61 64|III
P00054900A0226|61 64|ase
P00646193T0000|61 64|sof
P00105903A0288|61 64|ene
P01282014A0275|61 64|tor
P00771729X0000|61 64|orm
P00594466T0001|61 64|cin
P01295373A0651|61 64|ase
P00583522T0001|61 64|fla
P01119586A0337|61 64|tin
P00583004A0445|61 64|ene
P01331057A0000|61 64|nit
P00903772A0359|61 64|fic
P01172917T0000|61 64|nce
P00639410T0000|61 64|rin
P00137671A0896|61 63|II
P01316903A0296|61 63|II
P00139624A0318|62 75|ceruloplasmin
P01333047A0404|62 75|growth factor
P00383169A0000|62 72|e receptor
P00193088A0196|62 70|response
P01330309A1134|62 69|protein
P00342623A0228|62 69|antigen
P00015731A0090|62 69|hibitor
P01333035T0000|62 67|bunit
P01309593A0095|62 67|actor
P01331086T0000|62 66|unit
P01371863A0000|62 66|gene
P01320640A0336|62 66|olas
P01228258A0000|62 66|agen
P00264240A1843|62 66|gene
